Inagua Airport,Matthew Town,BS-IN
Inca Manco Capac International Airport,Juliaca,PE-PUN
Incheon International Airport,Seoul,KR-28
?ncirlik Air Base,Adana,TR-01
Indian Mountain LRRS Airport,Utopia Creek,US-AK
Indianapolis International Airport,Indianapolis,US-IN
Indigo Bay Lodge Airport,Bazaruto Island,MZ-I
Indira Gandhi International Airport,New Delhi,IN-DL
Ingeniero Alberto Acuña Ongay International Airport,Campeche,MX-CAM
Ingeniero Ambrosio Taravella Airport,Cordoba,AR-X
Ingolstadt Manching Airport,Manching,DE-BY
Inhambane Airport,Inhambabe,MZ-I
Innsbruck Airport,Innsbruck,AT-7
Inta Airport,Inta,RU-KO
Inukjuak Airport,Inukjuak,CA-QC
Inuvik Mike Zubko Airport,Inuvik,CA-NT
Invercargill Airport,Invercargill,NZ-STL
Inverell Airport,Inverell,AU-NSW
Inverness Airport,Inverness,GB-SCT
Ioannina Airport,Ioannina,GR-33
Ioannis Kapodistrias International Airport,Kerkyra Island,GR-22
Iqaluit Airport,Iqaluit,CA-NU
Iran Shahr Airport,Iranshahr,IR-13
Ireland West Knock Airport,Charleston,IE-MO
Iringa Airport,Nduli,TZ-04
Irkutsk Airport,Irkutsk,RU-IRK
Irkutsk Northwest Airport,Irkutsk,RU-IRK
Iruma Air Base,Tokyo,JP-13
Ísafjörður Airport,Ísafjörður,IS-4
Ishigaki Airport,Ishigaki,JP-47
Ishurdi Airport,Ishurdi,BD-5
Island Lake Airport,Island Lake,CA-MB
Islas Malvinas Airport,Rosario,AR-S
Islay Airport,Port Ellen,GB-SCT
Isle of Man Airport,Castletown,IM-U-A
Isle of Man Airport,Ronaldsway,IM-U-A
Issyk-Kul International Airport,Tamchy,KG-Y
Istrana Air Base,Istrana,IT-34
Istres Le Tubé/Istres Air Base (BA 125) Airport,Istres/Le Tubé,FR-U
Itacoatiara Airport,Itacoatiara,BR-AM
Itaituba Airport,Itaituba,BR-PA
Ithaca Tompkins Regional Airport,Ithaca,US-NY
Ivalo Airport,Ivalo,FI-LL
Ivano-Frankivsk International Airport,Ivano-Frankivsk,UA-26
Ivanovo North Air Base,Ivanovo,RU-IVA
Ivanovo South Airport,Ivanovo,RU-IVA
Ivato Airport,Antananarivo,MG-T
Ivujivik Airport,Ivujivik,CA-QC
Iwakuni Marine Corps Air Station,Iwakuni,JP-35
Iwami Airport,Masuda,JP-32
Ixtapa Zihuatanejo International Airport,Ixtapa,MX-GRO
Izhevsk Airport,Izhevsk,RU-UD
Izhma Airport,Izhma,RU-KO
Izumo Airport,Izumo,JP-32
J F Mitchell Airport,Bequia,VC-06
Jacareacanga Airport,Jacareacanga,BR-PA
Jack Mc Namara Field Airport,Crescent City,US-CA
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,US-CA
Jackson County Reynolds Field,Jackson,US-MI
Jackson Hole Airport,Jackson,US-WY
Jackson-Medgar Wiley Evers International Airport,Jackson,US-MS
Jacksonville Executive at Craig Airport,Jacksonville,US-FL
Jacksonville International Airport,Jacksonville,US-FL
Jacksonville Naval Air Station,Jacksonville,US-FL
Jacmel Airport,Jacmel,HT-SE
Jacqueline Cochran Regional Airport,Palm Springs,US-CA
JAGS McCartney International Airport,Cockburn Town,TC-GT
Jaime Gonzalez Airport,Cienfuegos,CU-06
Jaipur International Airport,Jaipur,IN-RJ
Jakkur Aerodrome,Bengaluru,IN-KA
Jalal-Abad Airport,Jalal-Abad,KG-J
Jam Airport,Kangan,IR-06
James M Cox Dayton International Airport,Dayton,US-OH
Jamestown Regional Airport,Jamestown,US-ND
Jammu Airport,Jammu,IN-JK
Jamnagar Airport,Jamnagar,IN-GJ
Janakpur Airport,Janakpur,NP-JA
Japura Airport,Rengat-Sumatra Island,ID-RI
Jardines Del Rey Airport,Cayo Coco,CU-08
Jeju International Airport,Jeju City,KR-49
J?kabpils Air Base,J?kabpils,LV-JK
Jenpeg Airport,Jenpeg,CA-MB
Jeongseok Airport,Jeju Island,KR-49
Jérémie Airport,Jeremie,HT-GA
Jerez Airport,Jerez de la Forntera,ES-AN
Jericoacoara Airport,Jijoca de Jericoacoara,BR-CE
Jersey Airport,Saint Helier,JE-U-A
Jessore Airport,Jashahor,BD-4
Jesús Terán Paredo International Airport,Aguascalientes,MX-AGU
Jiagedaqi Airport,Jiagedaqi,CN-23
Jiamusi Airport,Jiamusi,CN-23
Jianqiao/Hangzhou Airfield,Hangzhou,CN-33
Jiayuguan Airport,Jiayuguan,CN-62
Jieyang Chaoshan International Airport,Shantou,CN-44
Jijel Ferhat Abbas Airport,Jijel,DZ-18
Jim Hamilton L.B. Owens Airport,Columbia,US-SC
Jimma Airport,Jimma,ET-OR
Jim's Private Airport,Conyers,US-GA
Jingdezhen Airport,Jingdezhen,CN-36
Jinggangshan Airport,Ji'an,CN-36
Jining Qufu Airport,Jining,CN-37
Jinnah International Airport,Karachi,PK-SD
Jinzhou Airport,Jinzhou,CN-21
Jiroft Airport,Jiroft,IR-15
Jiuzhai Huanglong Airport,Jiuzhaigou,CN-51
Jixi Xingkaihu Airport,Jixi,CN-23
Jiyanklis Air Base,Jiyanklis,EG-BH
Jizan Regional Airport,Jizan,SA-09
João Correa da Rocha Airport,Marabá,BR-PA
João Paulo II Airport,Ponta Delgada,PT-20
João Simões Lopes Neto International Airport,Pelotas,BR-RS
Jodhpur Airport,Jodhpur,IN-RJ
Joe Foss Field Airport,Sioux Falls,US-SD
Joensuu Airport,Joensuu / Liperi,FI-IS
Johan Adolf Pengel International Airport,Zandery,SR-PR
Johan Pienaar Airport,Kuruman,ZA-NC
John A. Osborne Airport,Gerald's Park,MS-U-A
John C. Munro Hamilton International Airport,Hamilton,CA-ON
John F Kennedy International Airport,New York,US-NY
John Murtha Johnstown Cambria County Airport,Johnstown,US-PA
John Paul II International Airport Kraków-Balice Airport,Kraków,PL-MA
John Wayne Airport-Orange County Airport,Santa Ana,US-CA
Joint Base Balad,Balad,IQ-SD
Jomo Kenyatta International Airport,Nairobi,KE-110
Jonesboro Municipal Airport,Jonesboro,US-AR
Jönköping Airport,Jönköping,SE-F
Joplin Regional Airport,Joplin,US-MO
Jorge Chávez International Airport,Lima,PE-LIM
Jorge E. Gonzalez Torres Airport,San José Del Guaviare,CO-GUV
Jorge Isaac Airport,La Mina-Maicao,CO-LAG
Jorge Newbery Airpark,Buenos Aires,AR-C
Jorge Wilsterman International Airport,Cochabamba,BO-C
Jorhat Airport,Jorhat,IN-AS
José Celestino Mutis Airport,Bahía Solano,CO-CHO
José Joaquín de Olmedo International Airport,Guayaquil,EC-G
José Leonardo Chirinos Airport,Coro,VE-I
Jose Maria Córdova International Airport,Medellín,CO-ANT
Jose Maria Velasco Ibarra Airport,Macará,EC-L
José Martí International Airport,Havana,CU-03
Josefa Camejo International Airport,Paraguaná,VE-I
Joshua Mqabuko Nkomo International Airport,Bulawayo,ZW-BU
Joslin Field Magic Valley Regional Airport,Twin Falls,US-ID
Juan Casiano Airport,Guapi,CO-CAU
Juan De Ayolas Airport,Ayolas,PY-8
Juan Gualberto Gomez International Airport,Varadero,CU-04
Juan H White Airport,Caucasia,CO-ANT
Juan Manuel Galvez International Airport,Roatan Island,HN-IB
Juan Mendoza Airport,Oruro,BO-O
Juan Pablo Pérez Alfonso Airport,El Vigía,VE-L
Juan Santamaria International Airport,San Jose,CR-A
Juan Simons Vela Airport,Rioja,PE-SAM
Juana Azurduy De Padilla Airport,Sucre,BO-H
Juanda International Airport,Surabaya,ID-JI
Juanjui Airport,Juanjuí,PE-SAM
Juba International Airport,Juba,SS-17
Jubail Airport,Jubail,SA-04
Julian Carroll Airport,Jackson,US-KY
Julius Nyerere International Airport,Dar es Salaam,TZ-02
Jumandy Airport,Tena,EC-N
Juneau International Airport,Juneau,US-AK
Jungwon Air Base/Chungju Airport,Gimseang-ro,KR-43
J?rmala Airport,Tukums,LV-TU
Juwata Airport,Tarakan Island,ID-KU
Jyvaskyla Airport,Jyväskylän Maalaiskunta,FI-LS
K. D. Matanzima Airport,Mthatha,ZA-EC
K50 International Airport,Mogadishu,SO-SH
Kaadedhdhoo Airport,Huvadhu Atoll,MV-28
Kabul International Airport,Kabul,AF-KAB
Kacha Air Base,Sevastopol,UA-43
Kadhdhoo Airport,Kadhdhoo,MV-05
Kaduna Airport,Kaduna,NG-KD
Kagoshima Airport,Kagoshima,JP-46
Kahramanmara? Airport,Kahramanmara?,TR-46
Kahului Airport,Kahului,US-HI
Kaieteur International Airport,Kaieteur Falls,GY-PT
Kaifeng Air Base,Kaifeng,CN-41
Kaili Airport,Huangping,CN-52
Kaimana Airport,Kaimana-Papua Island,ID-PB
Kaitaia Airport,Kaitaia,NZ-NTL
Kajaani Airport,Kajaani,FI-OL
Kake Airport,Kake,US-AK
Kalaeloa Airport,Kapolei,US-HI
Kalamata Airport,Kalamata,GR-17
Kalamazoo Battle Creek International Airport,Kalamazoo,US-MI
Kalgoorlie Boulder Airport,Kalgoorlie,AU-WA
Kalibo International Airport,Kalibo,PH-AKL
Kaliningrad Chkalovsk Naval Air Base,Kaliningrad,RU-KGD
Kalocsa/Fokt? Airport,Kalocsa/Fokt?,HU-BK
Kamembe Airport,Kamembe,RW-04
Kamenny Ruchey Naval Air Base,Sovetskaya Gavan,RU-KHA
Kamensk-Uralskiy Air Base,Kamensk Uralskiy,RU-SVE
Kamishly Airport,Kamishly,SY-HA
Kamloops Airport,Kamloops,CA-BC
Kamphaeng Saen Airport,Nakhon Pathom,TH-72
Kampong Chhnang Airport,Kampong Chhnang,KH-4
Kananga Airport,Kananga,CD-KW
Kanas Airport,Burqin,CN-65
Kandla Airport,Kandla,IN-GJ
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe,US-HI
Kangerlussuaq Airport,Kangerlussuaq,GL-U-A
Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,CA-QC
Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,CA-QC
Kangirsuk Airport,Kangirsuk,CA-QC
Kankesanturai Airport,Jaffna,LK-4
Kansai International Airport,Osaka,JP-27
Kansas City International Airport,Kansas City,US-MO
Kansk Air Base,Kansk,RU-KYA
Kant Air Base,Kant,KG-C
Kaohsiung International Airport,Kaohsiung City,TW-KHH
Kaolack Airport,Kaolack,SN-FK
Kapalua Airport,Lahaina,US-HI
Kapuskasing Airport,Kapuskasing,CA-ON
Kapustin Yar Airfield,Znamensk,RU-AST
Karankut Air Base,Volnoye,UA-43
Kärdla Airport,Kärdla,EE-39
Kariba International Airport,Kariba,ZW-MW
Karl Stefan Memorial Airport,Norfolk,US-NE
Karlovy Vary International Airport,Karlovy Vary,CZ-KA
Karlsruhe Baden-Baden Airport,Baden-Baden,DE-BW
Karlstad Airport,Karlstad,SE-S
Karonga Airport,Karonga,MW-KR
Karpathos Airport,Karpathos Island,GR-81
Karratha Airport,Karratha,AU-WA
Kars Airport,Kars,TR-36
Karup Airport,Karup,DK-82
Kasabonika Airport,Kasabonika,CA-ON
Kasane Airport,Kasane,BW-NW
Kashechewan Airport,Kashechewan,CA-ON
Kashgar Airport,Kashgar,CN-65
Kasiguncu Airport,Poso-Celebes Island,ID-ST
Kasompe Airport,Chingola,ZM-08
Kassala Airport,Kassala,SD-05
Kassel-Calden Airport,Kassel,DE-HE
Katowice International Airport,Katowice,PL-SL
Kauhava Airport,Kauhava,FI-LS
Kaunas International Airport,Kaunas,LT-KU
Kavieng Airport,Kavieng,PG-NIK
Kawama Airport,Matanzas,CU-04
Kawthoung Airport,Kawthoung,MM-05
Kayseri Erkilet Airport,Kayseri,TR-38
Kazan International Airport,Kazan,RU-TA
Kazi Nazrul Islam Airport,Durgapur,IN-WB
Kbely Air Base,Prague,CZ-PR
Kecskemét Airport,Kecskemét,HU-BK
K?dainiai Air Base,K?dainiai,LT-KU
Kédougou Airport,Kédougou,SN-TC
Keesler Air Force Base,Biloxi,US-MS
Keetmanshoop Airport,Keetmanshoop,NA-KA
Kefallinia Airport,Kefallinia Island,GR-23
Keflavik International Airport,Reykjavík,IS-2
Kelowna International Airport,Kelowna,CA-BC
Kelsey Airport,Kelsey,CA-MB
Kemerovo Airport,Kemerovo,RU-KEM
Kemi-Tornio Airport,Kemi / Tornio,FI-LL
Kempegowda International Airport,Bangalore,IN-KA
Ken Jones Airport,Ken Jones,JM-04
Kenai Municipal Airport,Kenai,US-AK
Kendall-Tamiami Executive Airport,Miami,US-FL
Kenebetsu JASDF Airfield,Kenebetsu,JP-01
Kenema Airport,Kenema,SL-E
Kengtung Airport,Kengtung,MM-17
Kenneth Kaunda International Airport Lusaka,Lusaka,ZM-09
Kenora Airport,Kenora,CA-ON
Kenosha Regional Airport,Kenosha,US-WI
Keperveem Airport,Keperveem,RU-CHU
Kerema Airport,Kerema,PG-GPK
Kerikeri Airport,Kerikeri,NZ-NTL
Kerman Airport,Kerman,IR-15
Kerry Airport,Killarney,IE-KY
Kerteh Airport,Kerteh,MY-11
Ke?an Airport,Ke?an,TR-22
Ketapang(Rahadi Usman) Airport,Ketapang-Borneo Island,ID-KB
Ketchikan International Airport,Ketchikan,US-AK
Key Field,Meridian,US-MS
Key Lake Airport,Key Lake,CA-SK
Key West International Airport,Key West,US-FL
KFOR Base Airfield,Camp Bondsteel,XK-05
Khabarovsk-Novy Airport,Khabarovsk,RU-KHA
Khajuraho Airport,Khajuraho,IN-MP
Khalkhalah Air Base,Buraq,SY-SU
Khankala Air Base,Grozny,RU-CE
Khanskaya Air Base,Maykop,RU-AD
Khanty Mansiysk Airport,Khanty-Mansiysk,RU-KHM
Kharkiv International Airport,Kharkiv,UA-63
Khartoum International Airport,Khartoum,SD-03
Khasab Air Base,Khasab,OM-MU
Khatanga Airport,Khatanga,RU-KYA
Khmelnytskyi Airport,Khmelnytskyi,UA-68
Khon Kaen Airport,Khon Kaen,TH-40
Khotilovo Air Base,Bologoye,RU-TVE
Khovd Airport,Khovd,MN-043
Khrabrovo Airport,Kaliningrad,RU-KGD
Khudzhand Airport,Khudzhand,TJ-SU
Kiel-Holtenau Airport,Kiel,DE-SH
Kiev Zhuliany International Airport,Kiev,UA-32
Kigali International Airport,Kigali,RW-01
Kikai Airport,Kikai,JP-46
Kilimanjaro International Airport,Arusha,TZ-26
Kilpyavr Air Base,Murmansk,RU-MUR
Kimbe Airport,Hoskins,PG-WBK
Kimberley Airport,Kimberley,ZA-NC
Kimble County Airport,Junction,US-TX
Kimmirut Airport,Kimmirut,CA-NU
Kindersley Airport,Kindersley,CA-SK
Kindu Airport,Kindu,CD-MA
King Abdulaziz International Airport,Jeddah,SA-02
King Fahd International Airport,Ad Dammam,SA-04
King Faisal Naval Base,Jeddah,SA-02
King Khaled International Airport,Riyadh,SA-01
King Khaled Military City Airport,King Khaled Military City,SA-04
King Mswati III International Airport,Manzini,SZ-LU
King Salmon Airport,King Salmon,US-AK
King Shaka International Airport,Durban,ZA-NL
Kingston Norman Rogers Airport,Kingston,CA-ON
Kingsville Naval Air Station,Kingsville,US-TX
Kinmen Airport,Shang-I,TW-X-KM
Kinston Regional Jetport At Stallings Field,Kinston,US-NC
Kirkenes Airport (Høybuktmoen),Kirkenes,NO-20
Kirkland Lake Airport,Kirkland Lake,CA-ON
Kirksville Regional Airport,Kirksville,US-MO
Kirkuk Air Base,Kirkuk,IQ-TS
Kirkwall Airport,Orkney Islands,GB-SCT
Kirovskoe Air Base,Kirovskoe,UA-43
Kiruna Airport,Kiruna,SE-BD
Kish International Airport,Kish Island,IR-23
Kissimmee Gateway Airport,Orlando,US-FL
Kisumu Airport,Kisumu,KE-600
Kitadaito Airport,Kitadait?jima,JP-47
Kitaky?sh? Airport,Kitaky?sh?,JP-40
Kitale Airport,Kitale,KE-700
Kittilä Airport,Kittilä,FI-LL
Kivalina Airport,Kivalina,US-AK
Kiwayu Airport,Kiwayu,KE-300
Klagenfurt Airport,Klagenfurt am Wörthersee,AT-2
Klawock Airport,Klawock,US-AK
Kleine Brogel Air Base,Kleine Brogel,BE-VLI
Kleinsee Airport,Kleinsee,ZA-NC
Kluang Airport,Kluang,MY-01
Kobe Airport,Kobe,JP-28
Kochi Airport (????),Nankoku,JP-39
K?chi Ry?ma Airport,Nankoku,JP-39
Kodiak Airport,Kodiak,US-AK
Kogalym International Airport,Kogalym,RU-KHM
Koggala Airport,Galle,LK-3
Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI-LS
Koksan 2 Highway Strip,Koksan,KP-06
Koksan Air Base,Koksan,KP-06
Kokshetau Airport,Kokshetau,KZ-AKM
Koksijde Air Base,Koksijde,BE-VWV
Kolding Vamdrup Airfield,Kolding / Vamdrup,DK-83
Koltsovo Airport,Yekaterinburg,RU-SVE
Komatsu Airport,Kanazawa,JP-17
Komsomolsk-on-Amur Airport,Komsomolsk-on-Amur,RU-KHA
Kona International At Keahole Airport,Kailua/Kona,US-HI
Konarak Airport,Chabahar,IR-13
Koné Airport,Koné,NC-U-A
Kontum Airport,Kontum,VN-28
Konya Airport,Konya,TR-42
Kopitnari Airport,Kutaisi,GE-IM
Korhogo Airport,Korhogo,CI-03
Korla Airport,Korla,CN-65
Kos Airport,Kos Island,GR-81
Košice Airport,Košice,SK-KI
Kosrae International Airport,Okat,FM-KSA
Kostanay West Airport,Kostanay,KZ-KUS
Kostomuksha Airport,Kostomuksha,RU-KR
Kostroma Sokerkino Airport,Kostroma,RU-KOS
Kota Airport,Kota,IN-RJ
Kota Kinabalu International Airport,Kota Kinabalu,MY-12
Kotlas Airport,Kotlas,RU-ARK
Kotoka International Airport,Accra,GH-AA
Koulamoutou Mabimbi Airport,Koulamoutou,GA-7
Koumac Airport,Koumac,NC-U-A
Kowanyama Airport,Kowanyama,AU-QLD
Krabi Airport,Krabi,TH-81
Krainiy Airport,Baikonur,KZ-BAY
Kramfors Sollefteå Airport,Kramfors / Sollefteå,SE-Y
Krasnodar Pashkovsky International Airport,Krasnodar,RU-KDA
Krasnodar Tsentralny Air Base,Krasnodar,RU-KDA
Krasnokamensk Airport,Krasnokamensk,RU-CHI
Krechevitsy Air Base,Novgorod,RU-NGR
Kristiansand Airport,Kjevik,NO-10
Kristianstad Airport,Kristianstad,SE-M
Kristiansund Airport (Kvernberget),Kvernberget,NO-15
Kruger Mpumalanga International Airport,Mpumalanga,ZA-MP
Krymsk Air Base,Krymsk,RU-KDA
Kryvyi Rih International Airport,Kryvyi Rih,UA-12
Kuala Lumpur International Airport,Kuala Lumpur,MY-14
Kuantan Airport,Kuantan,MY-06
Kubinka Air Base,Kubinka,RU-MOS
Kuching International Airport,Kuching,MY-13
Kuchy?a Air Base,Malacky,SK-BL
Kuçovë Air Base,Kuçovë,AL-01
Kufra Airport,Kufra,LY-KF
Kugaaruk Airport,Kugaaruk,CA-NU
Kugluktuk Airport,Kugluktuk,CA-NU
Kuito Airport,Kuito,AO-BIE
Kukës Airport,Kukës,AL-07
Kulob Airport,Kulyab,TJ-KT
Kumamoto Airport,Kumamoto,JP-43
Kumasi Airport,Kumasi,GH-AH
Kunming Changshui International Airport,Kunming,CN-53
Kunovice Airport,Uherské Hradišt?,CZ-ZL
Kunsan Air Base,Kunsan,KR-45
Kununurra Airport,Kununurra,AU-WA
Kuopio Airport,Kuopio / Siilinjärvi,FI-IS
Kurchatov Airfield,Kurchatov,KZ-VOS
Kuressaare Airport,Kuressaare,EE-74
Kurgan Airport,Kurgan,RU-KGN
Kursk East Airport,Kursk,RU-KRS
Kurumoch International Airport,Samara,RU-SAM
Kushiro Airport,Kushiro,JP-01
Kuujjuaq Airport,Kuujjuaq,CA-QC
Kuujjuarapik Airport,Kuujjuarapik,CA-QC
Kuusamo Airport,Kuusamo,FI-OL
Kuwait International Airport,Kuwait City,KW-FA
Kwail Air Base,Kwail,KP-05
Kwaksan Air Base,Kwaksan,KP-03
Kyaukpyu Airport,Kyaukpyu,MM-16
Kyurdamir Air Base,Kyurdamir,AZ-KUR
Kyzyl Airport,Kyzyl,RU-TY
Kyzyl-Syr Airport,Kyzyl-Syr,RU-SA
L M Clayton Airport,Wolf Point,US-MT
L.F. Wade International International Airport,Hamilton,BM-U-A
La Abraq Airport,Al Bayda',LY-JA
La Araucanía Airport,Temuco,CL-AR
La Aurora Airport,Guatemala City,GT-GU
La Baule-Escoublac Airport,La Baule-Escoublac,FR-R
La Chinita International Airport,Maracaibo,VE-V
La Coloma Airport,Pinar del Rio,CU-01
La Crosse Municipal Airport,La Crosse,US-WI
La Florida Airport,La Serena-Coquimbo,CL-CO
La Florida Airport,Tumaco,CO-NAR
La Grande Rivière Airport,La Grande Rivière,CA-QC
La Grande-4 Airport,La Grande-4,CA-QC
La Guardia Airport,New York,US-NY
La Isabela International Airport,La Isabela,DO-01
La Laguna Airport,Guanaja,HN-IB
La Macaza / Mont-Tremblant International Inc Airport,Rivière Rouge,CA-QC
La Nubia Airport,Manizales,CO-CAL
La Palma Airport,"Sta Cruz de la Palma, La Palma Island",ES-CN
La Plata Airport,La Plata,AR-B
La Rochelle-Île de Ré Airport,La Rochelle/Île de Ré,FR-T
La Roche-sur-Yon Airport,La Roche-sur-Yon/Les Ajoncs,FR-R
La Ronge Airport,La Ronge,CA-SK
La Tontouta International Airport,Nouméa,NC-U-A
Labo Airport,Ozamiz City,PH-MSC
Labuan Airport,Labuan,MY-15
Lac Brochet Airport,Lac Brochet,CA-MB
Lac Du Bonnet Airport,Lac Du Bonnet,CA-MB
Lackland Air Force Base,San Antonio,US-TX
Ladd AAF Airfield,Fairbanks/Ft Wainwright,US-AK
Ladysmith Airport,Ladysmith,ZA-NL
Lafayette Regional Airport,Lafayette,US-LA
Lages Airport,Lages,BR-SC
Laghouat Airport,Laghouat,DZ-03
Laguindingan Airport,Cagayan de Oro City,PH-MSR
Lahad Datu Airport,Lahad Datu,MY-12
Laikipia Air Base,Nanyuki,KE-700
Lajes Airport,Praia da Vitória,PT-20
Lake Charles Regional Airport,Lake Charles,US-LA
Lake Country Regional Airport,Clarksville,US-VA
Lake Cumberland Regional Airport,Somerset,US-KY
Lake Manyara Airport,Lake Manyara National Park,TZ-26
Lake Tahoe Airport,South Lake Tahoe,US-CA
Lakefront Airport,New Orleans,US-LA
Lakehurst Maxfield Field Airport,Lakehurst,US-NJ
Lakeland Linder Regional Airport,Lakeland,US-FL
Lal Bahadur Shastri Airport,Varanasi,IN-UP
Lambarene Airport,Lambarene,GA-3
Lambert St Louis International Airport,St Louis,US-MO
Lamezia Terme Airport,Lamezia Terme (CZ),IT-78
Lampedusa Airport,Lampedusa,IT-82
Lanai Airport,Lanai City,US-HI
Lancaster Airport,Lancaster,US-PA
Landivisiau Air Base,Landivisiau,FR-E
Land's End Airport,Land's End,GB-ENG
Langebaanweg Airport,Langebaanweg,ZA-WC
Langkawi International Airport,Langkawi,MY-02
Langley Air Force Base,Hampton,US-VA
Lannion-Côte de Granit Airport,Lannion,FR-E
Lansdowne House Airport,Lansdowne House,CA-ON
Lanseria Airport,Johannesburg,ZA-GT
Lanvéoc-Poulmic Air Base,Lanvéoc/Poulmic,FR-E
Lanyu Airport,Orchid Island,TW-TTT
Lanzarote Airport,Lanzarote Island,ES-CN
Lanzhou Air Base,Lanzhou,CN-62
Lanzhou Zhongchuan Airport,Lanzhou,CN-62
Laoag International Airport,Laoag City,PH-ILN
Lappeenranta Airport,Lappeenranta,FI-ES
Lar Airport,Lar,IR-14
Laramie Regional Airport,Laramie,US-WY
Laredo International Airport,Laredo,US-TX
Larnaca International Airport,Larnarca,CY-04
Las Américas International Airport,Santo Domingo,DO-01
Las Breas Airport,Taltal,CL-AN
Las Brujas Airport,Corozal,CO-SUC
Las Cruces International Airport,Las Cruces,US-NM
